@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
532.730371,55.17,27.585,18.39,13.7925,9.195,4.5975,2.323333,2.342708,1.614306,1.793229,1.434583,1
532.730371,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
532.730371,35.14,17.57,11.713333,8.785,5.856667,2.928333,1.62125,1.077708,1.317222,0.987917,0.790333,1
532.730371,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,1.010278,0.250778,0.249986,0
608.217497,34.74,17.37,11.58,8.685,5.79,2.895,1.605,1.069583,1.311667,0.98375,0.787,1
608.217497,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,1.010278,0.250778,0.249986,0
608.217497,44.8,22.4,14.933333,11.2,7.466667,3.733333,2.114167,2.126667,1.470278,1.685208,1.348167,1
608.217497,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
608.217497,9.3,4.75,3.166667,2.375,1.583333,0.791667,0.395833,0.197917,0.131944,0.199479,0.16125,1
608.217497,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.008333,0.004167,0.005417,0.004063,0.003333,0
608.217497,13.57,8.26,10.093333,9.2425,6.718333,3.983333,2.714167,1.451458,0.967639,0.795417,0.636333,1
608.217497,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,2.546667,0.261859,0.253991,0.250778,0.249986,0
1228.1866,21.54,10.77,7.246667,5.435,3.623333,1.811667,0.914167,0.498125,0.860972,0.825417,0.698167,1
1228.1866,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0.99,7.33,4.953333,3.715,2.476667,1.238333,0.619167,1.58625,1.32375,1.429062,1.168083,1
1442.06423,0.2,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,1.085833,1.071917,0
1442.06423,0,0,0.066667,0.2,1.673333,3.2125,1.82,0.918333,0.615,0.609062,0.48725,1
1442.06423,?,?,0.066667,0.05,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0.1,0.066667,0.05,0.131667,0.199167,0.71875,1.636042,1.348611,1.414688,1.16325,1
1442.06423,?,0.1,0.066667,0.05,0.033333,0.016667,0.4136,1.515417,1.010278,1.085833,1.071917,0
1442.06423,0.79,10.965,7.443333,5.6325,3.755,1.8775,0.947083,0.514583,0.871944,0.83375,0.668667,1
1442.06423,0.2,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0,0.016667,0.295,0.164167,0.425139,0.339479,0.588833,1
1442.06423,?,?,?,?,?,0.016667,0.008333,0.004167,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0,0,0,0,0.306806,0.230104,0.184083,1
1442.06423,?,?,?,?,?,?,?,?,0.253991,0.004063,0.003333,0
1442.06423,0.79,1.775,1.183333,0.8875,0.591667,0.345833,0.666667,0.969375,0.76625,0.697604,0.600833,1
1442.06423,0.2,0.1,0.066667,0.05,0.033333,0.016667,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,5.51,3.935,4.333333,3.545,3.053333,1.871667,0.99375,0.719583,0.983056,0.751771,0.76025,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0.195,0.196667,0.2975,0.886667,2.624167,1.70625,0.993333,0.832361,0.942292,0.825917,1
1442.06423,?,0.1,0.066667,0.05,0.033333,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,18.85,9.82,6.743333,5.305,3.536667,1.768333,1.377917,1.554375,1.181667,1.015937,1.067167,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,1.515417,1.010278,0.250778,0.249986,0
1442.06423,0,0.1,0.133333,0.5425,2.886667,3.2125,1.82,0.918333,0.615,0.609062,0.48725,1
1442.06423,?,0.1,0.066667,0.05,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,11.64,8.08,5.386667,4.04,2.858333,1.429167,0.714583,0.357292,0.238194,0.178646,0.142917,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.005417,0.004063,0.003333,0
1442.06423,7.28,12.78,10.623333,8.0675,6.1,3.05,1.525,0.7625,0.508333,0.38125,0.305,1
1442.06423,4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0.4136,0.261859,0.253991,0.250778,0.249986,0
1442.06423,0,0,0,0,0,0,0,0,0.076528,0.067708,0.054167,1
1442.06423,?,?,?,?,?,?,?,?,0.005417,0.004063,0.003333,0
1442.06423,0,0,0,0,0,0,0,0,0.076528,0.067708,0.054167,1
1442.06423,?,?,?,?,?,?,?,?,0.005417,0.004063,0.003333,0
1442.06423,1.57,0.785,0.523333,1.13,0.753333,0.376667,0.188333,0.094167,0.062778,0.26,0.224417,1
