@relation FloodingsSP-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-3

@attribute distance numeric
@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute mm_24h numeric
@attribute mm_48h numeric
@attribute mm_72h numeric
@attribute mm_96h numeric
@attribute mm_120h numeric
@attribute class {0,1}

@data
147.297645,21.37,10.685,7.123333,5.3425,3.561667,1.780833,1.523333,0.761667,0.507778,0.380833,0.304667,1
147.297645,15.67,9.245,6.163333,4.6225,3.213333,0.69404,0.43411,0.281208,0.231076,0.244223,0.213839,0
147.297645,26.51,15.03,10.02,7.515,5.01,2.505,1.474167,0.864167,0.578889,0.434167,0.347333,1
147.297645,15.67,9.245,6.163333,4.6225,3.213333,0.69404,0.43411,0.281208,0.231076,0.244223,0.213839,0
155.545981,34.82,20.25,13.5,10.125,6.75,3.375,1.704167,1.190208,1.042639,0.886458,0.717417,1
155.545981,33.78,20.04,13.36,10.02,6.68,0.938646,0.557122,0.327858,0.797083,0.641146,0.54025,0
155.545981,56.13,28.065,18.71,14.0325,9.355,4.6775,2.347083,1.173542,0.881111,1.200313,0.991583,1
155.545981,33.78,20.04,13.36,10.02,6.68,3.415,1.937083,0.327858,0.797083,0.641146,0.54025,0
157.655424,0,0.3,0.536667,0.6075,0.701667,0.841667,0.519583,0.79875,0.557639,0.590208,0.472167,1
157.655424,?,0.1,0.066667,0.05,0.033333,0.735031,0.425216,0.245671,0.204336,0.433437,0.188651,0
189.254906,0,5.215,3.476667,2.6075,1.738333,0.885833,0.812083,0.406042,0.270694,0.203021,0.162417,1
189.254906,?,2.163611,1.581111,1.387222,1.074074,0.598796,0.335255,0.238432,0.221914,0.012292,0.009833,0
191.042761,6.89,3.745,2.763333,2.2225,1.781667,1.4075,1.212083,1.209792,0.92125,0.690937,0.609417,1
191.042761,2.75,2.165,2.1,1.575,1.05,0.990833,1.127083,1.004375,0.669583,0.504271,0.460083,1
191.042761,3.53,1.765,1.176667,0.8825,0.588333,0.294167,0.147083,0.073542,0.162917,0.338854,0.518083,1
211.934273,25.23,22.795,15.983333,11.9875,7.991667,3.995833,1.997917,0.998958,0.665972,0.499479,0.399583,1
211.934273,3.974516,17.03,11.353333,8.515,6.066667,3.491667,1.910417,0.955208,0.642361,0.185185,0.17278,0
213.738821,0,0,0,0,0,0,0.016667,0.082292,0.054861,0.264688,0.464333,1
